,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Delhi to Shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 507,26 Seats available,4.0
1,Delhi to Shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 892,8 Seats available,3.5
2,Delhi to Shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 507,25 Seats available,4.1
3,Delhi to Shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 507,15 Seats available,4.5
4,Delhi to Shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 892,17 Seats available,4.2
5,Delhi to Shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 507,35 Seats available,3.6
6,Delhi to Shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 867,12 Seats available,3.8
7,Delhi to Shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,INR 507,20 Seats available,3.3
8,Delhi to Shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,INR 892,17 Seats available,4.6
9,Delhi to Shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,INR 867,21 Seats available,4.1
10,Delhi to Shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,INR 507,27 Seats available,4.1
11,Delhi to Shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,INR 892,25 Seats available,4.4
12,Delhi to Shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:30,09h 50m,INR 507,36 Seats available,4.6
13,Delhi to Shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30,08:00,09h 30m,450,18 Seats available,4.7
14,Delhi to Shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:25,07:10,09h 45m,630,11 Seats available,4.5
15,Delhi to Shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,474,24 Seats available,4.4
16,Delhi to Shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,523,16 Seats available,4.3
17,Delhi to Shimla,Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,523,37 Seats available,4.0
18,Delhi to Shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05,07:25,09h 20m,436,10 Seats available,4.4
19,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,06:00,08h 00m,529,16 Seats available,3.1
20,Delhi to Shimla,City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25,07:25,08h 00m,INR 500,33 Seats available,3.6
21,Delhi to Shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,10h 00m,INR 1500,33 Seats available,2.0
22,Delhi to Shimla,FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 619,27 Seats available,2.9
23,Delhi to Shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 988,22 Seats available,1.7
24,Shimla to Delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,04:57,09h 32m,INR 507,27 Seats available,4.2
25,Shimla to Delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,05:00,09h 00m,INR 892,15 Seats available,4.6
26,Shimla to Delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,INR 892,16 Seats available,4.6
27,Shimla to Delhi,HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,INR 612,44 Seats available,3.3
28,Shimla to Delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,06:00,08h 30m,INR 892,15 Seats available,4.0
29,Shimla to Delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,06:15,08h 30m,INR 507,29 Seats available,4.5
30,Shimla to Delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,22:00,06:30,08h 30m,INR 507,27 Seats available,3.4
31,Shimla to Delhi,HRTC - 136,Ordinary 3+2 Non AC Seater,22:30,06:30,08h 00m,INR 507,26 Seats available,2.3
32,Shimla to Delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,477,16 Seats available,4.7
33,Shimla to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,522,30 Seats available,4.4
34,Shimla to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:35,08h 05m,440,24 Seats available,4.4
35,Shimla to Delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:00,05:40,08h 40m,630,49 Seats available,4.3
36,Shimla to Delhi,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,05:30,07h 30m,630,32 Seats available,4.2
37,Shimla to Delhi,FlixBus,A/C Seater (2+2),20:00,04:40,08h 40m,INR 699,37 Seats available,5.0
38,Shimla to Delhi,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,06:00,09h 00m,INR 1666,41 Seats available,4.1
39,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,540,40 Seats available,3.9
40,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,INR 500,36 Seats available,3.6
41,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),21:00,04:25,07h 25m,INR 448,30 Seats available,3.2
42,Shimla to Delhi,Yolo Bus,Volvo A/C Semi Sleeper (2+2),22:00,05:42,07h 42m,INR 1914,49 Seats available,2.0
43,Manali to Chandigarh,HRTC - 712,Ordinary 3+2 Non AC Seater,18:30,05:05,10h 35m,INR 563,37 Seats available,3.9
44,Manali to Chandigarh,HRTC - 214001,Himsuta AC Seater Volvo/Scania 2+2,19:00,02:20,07h 20m,INR 920,32 Seats available,3.9
45,Manali to Chandigarh,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,20:00,04:10,08h 10m,INR 938,34 Seats available,3.9
46,Manali to Chandigarh,HRTC - 737,Ordinary 3+2 Non AC Seater,20:10,05:30,09h 20m,INR 567,37 Seats available,2.3
47,Manali to Chandigarh,HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,INR 549,37 Seats available,3.0
48,Manali to Chandigarh,HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,04:20,07h 20m,INR 920,34 Seats available,3.1
