,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Khammam to Hyderabad,TSRTC - 1319,Lahari A/C sleeper,17:10,20:45,03h 35m,INR 389,11 Seats available,3.6
1,Khammam to Hyderabad,TSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,21:30,04h 10m,INR 320,19 Seats available,4.1
2,Khammam to Hyderabad,TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:40,21:40,04h 00m,INR 389,31 Seats available,4.1
3,Khammam to Hyderabad,TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,22:00,04h 00m,INR 389,35 Seats available,3.5
4,Khammam to Hyderabad,TSRTC - 1952,Lahari A/C sleeper,18:10,21:45,03h 35m,INR 389,26 Seats available,3.2
5,Khammam to Hyderabad,TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,22:30,04h 00m,INR 389,33 Seats available,4.1
6,Khammam to Hyderabad,TSRTC - 64022,RAJDHANI (A.C. Semi Sleeper),19:00,23:00,04h 00m,INR 389,35 Seats available,2.9
7,Khammam to Hyderabad,TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,23:40,04h 10m,INR 320,31 Seats available,4.4
8,Khammam to Hyderabad,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,INR 389,35 Seats available,3.5
9,Khammam to Hyderabad,TSRTC - 8619,RAJDHANI (A.C. Semi Sleeper),22:00,02:00,04h 00m,INR 389,32 Seats available,3.9
10,Khammam to Hyderabad,TSRTC - 64593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,02:25,03h 55m,INR 320,12 Seats available,4.7
11,Khammam to Hyderabad,TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,03:20,04h 25m,INR 320,29 Seats available,4.8
12,Khammam to Hyderabad,TSRTC - 4166,RAJADHANI AC (CONVERTED METRO LUXURY),23:00,03:00,04h 00m,INR 389,32 Seats available,4.6
13,Khammam to Hyderabad,TSRTC - 8644,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:10,03:20,04h 10m,INR 320,19 Seats available,3.9
14,Khammam to Hyderabad,TSRTC - 64008,RAJDHANI (A.C. Semi Sleeper),23:35,03:35,04h 00m,INR 389,34 Seats available,4.4
15,Khammam to Hyderabad,TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03:30,03h 45m,INR 389,27 Seats available,3.5
16,Khammam to Hyderabad,TSRTC - 7646,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,04:30,04h 35m,INR 320,12 Seats available,3.8
17,Khammam to Hyderabad,TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,05:20,05h 25m,INR 320,19 Seats available,4.6
18,Khammam to Hyderabad,TSRTC - 1323,Lahari A/C sleeper,23:55,03:30,03h 35m,INR 389,29 Seats available,3.6
19,Khammam to Hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:20,05:00,05h 40m,475,23 Seats available,3.8
20,Khammam to Hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 400,18 Seats available,4.7
21,Khammam to Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,380,8 Seats available,4.6
22,Khammam to Hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 400,14 Seats available,3.8
23,Khammam to Hyderabad,RRR Travels,A/C Seater / Sleeper (2+1),23:50,05:30,05h 40m,INR 500,22 Seats available,4.2
24,Khammam to Hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05:25,05h 30m,INR 350,19 Seats available,3.5
25,Khammam to Hyderabad,SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,05:30,05h 31m,INR 560,16 Seats available,5.0
26,Khammam to Hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 470,9 Seats available,3.9
27,Khammam to Hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,INR 450,16 Seats available,3.7
28,Khammam to Hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 450,15 Seats available,3.6
29,Khammam to Hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,INR 610,14 Seats available,4.6
30,Khammam to Hyderabad,SAIRAJ TRAVELS,NON A/C Seater (2+2),23:59,05:30,05h 31m,INR 450,15 Seats available,3.5
31,Khammam to Hyderabad,Vasireddy Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,INR 500,28 Seats available,3.9
32,Khammam to Hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05:00,05h 01m,INR 700,25 Seats available,3.6
33,Khammam to Hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,05:00,04h 30m,INR 500,17 Seats available,3.7
34,Khammam to Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),00:30,05:30,05h 00m,466,8 Seats available,3.8
35,Khammam to Hyderabad,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),00:40,05:00,04h 20m,INR 800,18 Seats available,3.0
36,Khammam to Hyderabad,SRI SAI BALAJI TOURS AND TRAVELS,A/C Sleeper (2+1),01:30,05:00,03h 30m,INR 799,27 Seats available,3.8
37,Khammam to Hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,06:00,04h 30m,INR 599,11 Seats available,4.0
38,Khammam to Hyderabad,Orange Tours And Travels,A/C Sleeper (2+1),17:30,21:50,04h 20m,INR 600,9 Seats available,2.6
39,Khammam to Hyderabad,Morning Star Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),18:00,21:45,03h 45m,INR 790,21 Seats available,1.8
40,Khammam to Hyderabad,Sri KVR Travels,A/C Seater / Sleeper (2+1),23:20,05:00,05h 40m,523,22 Seats available,2.8
41,Khammam to Hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,INR 800,17 Seats available,2.7
42,Khammam to Hyderabad,Morning Star Travels,A/C Sleeper (2+1),00:45,04:55,04h 10m,INR 750,21 Seats available,1.8
43,Khammam to Hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,05:00,03h 30m,INR 750,14 Seats available,1.8
44,Khammam to Hyderabad,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),18:30,22:00,03h 30m,INR 1399,9 Seats available,3.6
45,Khammam to Hyderabad,Nani’s Sai Krishna Travels,NON A/C Hi-Tech Push Back (2+2),23:59,05:00,05h 01m,INR 3000,41 Seats available,3.9
46,Hyderabad to Vijayawada,APSRTC - 3360,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),18:25,01:30,07h 05m,INR 720,37 Seats available,3.8
47,Hyderabad to Vijayawada,APSRTC - 2575,NIGHT RIDER (SEATER CUM SLEEPER),18:55,01:15,06h 20m,INR 639,22 Seats available,3.4
