,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Patna (Bihar) to Bettiah,Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,11:00,05h 00m,INR 285,34 Seats available,3.8
1,Patna (Bihar) to Bettiah,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,12:35,06h 05m,INR 331,38 Seats available,3.3
2,Patna (Bihar) to Bettiah,Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,15:00,06h 00m,INR 285,33 Seats available,2.8
3,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:10,15:00,06h 50m,INR 499,46 Seats available,3.2
4,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:20,16:00,07h 40m,INR 499,40 Seats available,3.2
5,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,21:00,06h 50m,INR 500,28 Seats available,3.2
6,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,21:50,07h 00m,INR 450,28 Seats available,3.2
7,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,463,6 Seats available,3.2
8,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,523,54 Seats available,3.7
9,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:00,12:30,05h 30m,416,42 Seats available,No rating
10,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:12,12:30,05h 18m,416,42 Seats available,No rating
11,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:20,12:30,05h 10m,416,42 Seats available,No rating
12,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:25,12:45,05h 20m,416,42 Seats available,No rating
13,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:32,12:50,05h 18m,416,42 Seats available,No rating
14,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:37,13:00,05h 23m,416,42 Seats available,No rating
15,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:12,13:30,05h 18m,416,42 Seats available,No rating
16,Patna (Bihar) to Bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:41,13:50,05h 09m,416,42 Seats available,No rating
