,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165681,HVAC Seater (2+3),07:00,12:35,05h 35m,INR 404.76,45 Seats available,4.0
1,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165684,HVAC Seater (2+3),07:55,13:30,05h 35m,INR 404.76,47 Seats available,4.0
2,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165687,HVAC Seater (2+3),08:25,14:00,05h 35m,INR 404.76,47 Seats available,3.8
3,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165676,HVAC Seater (2+3),09:25,15:00,05h 35m,INR 404.76,47 Seats available,4.0
4,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,16:05,05h 35m,INR 404.76,47 Seats available,3.6
5,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,16:55,05h 35m,INR 404.76,47 Seats available,3.9
6,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,18:05,05h 35m,INR 404.76,46 Seats available,4.1
7,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,19:35,05h 35m,INR 404.76,47 Seats available,3.4
8,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,20:05,05h 35m,INR 404.76,47 Seats available,3.9
9,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,21:05,05h 35m,INR 404.76,47 Seats available,3.4
10,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,22:05,05h 35m,INR 404.76,47 Seats available,3.4
11,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,22:35,05h 35m,INR 404.76,47 Seats available,4.6
12,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),17:30,23:05,05h 35m,INR 404.76,47 Seats available,4.4
13,Chandigarh to Delhi,FlixBus,A/C Seater (2+2),00:00,05:00,05h 00m,INR 252,36 Seats available,3.7
14,Chandigarh to Delhi,FlixBus,A/C Seater (2+2),00:00,05:00,29h 00m,INR 245,34 Seats available,3.7
15,Chandigarh to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:05,04:55,04h 50m,481,26 Seats available,4.8
16,Chandigarh to Delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:30,04:45,04h 15m,474,29 Seats available,4.3
17,Chandigarh to Delhi,FlixBus,A/C Seater (2+2),00:30,05:20,04h 50m,INR 322,39 Seats available,3.7
18,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),00:50,05:00,04h 10m,495,35 Seats available,3.0
19,Chandigarh to Delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),00:55,05:30,04h 35m,450,30 Seats available,5.0
20,Chandigarh to Delhi,Bedi Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),01:00,05:30,04h 30m,504,16 Seats available,4.1
21,Chandigarh to Delhi,Northern Travels,Volvo A/C Semi Sleeper (2+2),01:00,05:15,04h 15m,INR 510,28 Seats available,3.7
22,Chandigarh to Delhi,FlixBus,A/C Seater (2+2),01:15,06:00,04h 45m,INR 303,33 Seats available,3.7
23,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),01:15,05:30,04h 15m,529,33 Seats available,3.0
24,Chandigarh to Delhi,New Himalaya Travels,Volvo A/C Semi Sleeper (2+2),01:15,06:20,05h 05m,INR 600,31 Seats available,4.2
25,Chandigarh to Delhi,Lavish Travels,A/C Seater / Sleeper (2+2),01:15,05:30,04h 15m,539,34 Seats available,3.4
26,Chandigarh to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),01:20,06:00,04h 40m,INR 587,42 Seats available,4.1
27,Chandigarh to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),01:25,06:20,04h 55m,INR 350,46 Seats available,4.3
28,Chandigarh to Delhi,Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),01:30,05:55,04h 25m,508,42 Seats available,4.3
29,Chandigarh to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),01:30,05:30,04h 00m,513,33 Seats available,4.3
30,Chandigarh to Delhi,City Land Travels,A/C Seater/Sleeper (2+1),01:30,06:30,05h 00m,495,33 Seats available,3.6
31,Chandigarh to Delhi,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),01:40,06:30,04h 50m,562,34 Seats available,4.7
32,Chandigarh to Delhi,Zingbus Plus,Scania A/C Semi Sleeper (2+2),01:45,06:15,04h 30m,540,29 Seats available,3.7
33,Chandigarh to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),01:50,06:00,04h 10m,569,43 Seats available,4.7
34,Chandigarh to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),01:55,06:10,04h 15m,562,30 Seats available,4.1
35,Chandigarh to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),02:00,06:40,04h 40m,407,29 Seats available,4.1
36,Chandigarh to Delhi,HIMALAYAN HOLIDAYS,Volvo A/C Semi Sleeper (2+2 ),02:00,06:30,04h 30m,INR 999,33 Seats available,3.5
37,Chandigarh to Delhi,Holiday Appeal Private Limited,Scania Multi-Axle AC Semi Sleeper (2+2),02:00,06:00,04h 00m,INR 599,53 Seats available,4.1
38,Chandigarh to Delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),02:00,06:35,04h 35m,INR 530,37 Seats available,4.0
