,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),19:25,07:45,12h 20m,INR 400,16 Seats available,4.5
1,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:20,06:45,11h 25m,513,11 Seats available,4.1
2,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:01,12h 31m,INR 600,12 Seats available,4.1
3,Pune to Goa,AdIntrCity SmartBus,AC Sleeper (2+1),20:20,07:40,11h 20m,INR 607,4 Seats available,4.1
4,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),20:35,09:30,12h 55m,675,18 Seats available,4.0
5,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:55,09:30,12h 35m,INR 1020,13 Seats available,4.2
6,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:15,09:30,12h 15m,740,11 Seats available,4.1
7,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 720,18 Seats available,4.2
8,Pune to Goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),22:45,09:35,10h 50m,INR 699,14 Seats available,4.0
9,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:00,12h 30m,INR 600,12 Seats available,4.8
10,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),20:00,08:45,12h 45m,INR 606,5 Seats available,4.6
11,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),19:15,08:30,13h 15m,693,3 Seats available,4.6
12,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),19:00,07:30,12h 30m,INR 555,9 Seats available,4.4
13,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),19:30,08:00,12h 30m,648,10 Seats available,4.4
14,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),19:40,08:35,12h 55m,488,9 Seats available,4.5
15,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),20:15,09:30,13h 15m,647,9 Seats available,4.5
16,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,10:00,12h 25m,540,2 Seats available,4.3
17,Pune to Goa,Indumati Travels,A/C Sleeper (2+1),20:25,08:30,12h 05m,523,9 Seats available,4.2
18,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,07:15,12h 15m,INR 399,9 Seats available,4.3
19,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:45,07:00,10h 15m,INR 399,10 Seats available,4.3
20,Pune to Goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:00,08:45,11h 45m,INR 1020,5 Seats available,4.2
21,Pune to Goa,Ashray National Express,NON A/C Sleeper (2+1),19:20,06:45,11h 25m,513,9 Seats available,4.2
22,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:00,07:30,12h 30m,INR 350,19 Seats available,3.3
23,Pune to Goa,Laxmi Queen Prime,A/C Sleeper (2+1),19:00,07:30,12h 30m,INR 699,13 Seats available,3.8
24,Pune to Goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),20:25,07:10,10h 45m,INR 500,29 Seats available,3.2
25,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),20:35,09:00,12h 25m,INR 750,16 Seats available,3.4
26,Pune to Goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),22:25,09:10,10h 45m,INR 650,25 Seats available,3.6
27,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:00,07:30,12h 30m,INR 350,20 Seats available,3.4
28,Pune to Goa,Anand Travels,NON A/C Sleeper (2+1),20:00,09:30,13h 30m,549,17 Seats available,3.4
29,Pune to Goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),22:10,08:55,10h 45m,INR 599,23 Seats available,3.2
30,Pune to Goa,KOKAN TOURS & TRAVELS,NON A/C Seater Push Back (2+2),19:15,08:45,13h 30m,INR 3000,27 Seats available,3.0
31,Pune to Goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),19:45,08:30,12h 45m,545,7 Seats available,3.9
