,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,RSRTC - 160781,Super Luxury Volvo AC Seater Pushback 2+2,00:00,14:00,14h 00m,INR 460,37 Seats available,4.5
1,Jodhpur to Ajmer,RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,09:15,04h 30m,INR 250,35 Seats available,4.2
2,Jodhpur to Ajmer,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,10:15,04h 00m,INR 460,37 Seats available,4.2
3,Jodhpur to Ajmer,RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,11:15,04h 00m,INR 460,37 Seats available,4.0
4,Jodhpur to Ajmer,RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,12:00,04h 45m,INR 250,35 Seats available,4.2
5,Jodhpur to Ajmer,RSRTC - 193585,Express Non AC Seater 2+3,07:40,12:20,04h 40m,INR 227,42 Seats available,4.2
6,Jodhpur to Ajmer,RSRTC - 192577,Express Non AC Seater 2+3,08:00,12:55,04h 55m,INR 229,46 Seats available,4.2
7,Jodhpur to Ajmer,RSRTC - 144042,Super Luxury Volvo AC Seater Pushback 2+2,08:21,12:20,03h 59m,INR 460,37 Seats available,4.3
8,Jodhpur to Ajmer,RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,09:16,13:20,04h 04m,INR 460,37 Seats available,4.6
9,Jodhpur to Ajmer,RSRTC - 174461,Express Non AC Seater 2+3,09:30,14:15,04h 45m,INR 229,42 Seats available,4.2
10,Jodhpur to Ajmer,RSRTC - 193432,Express Non AC Seater 2+3,10:00,15:45,05h 45m,INR 226,42 Seats available,4.2
11,Jodhpur to Ajmer,RSRTC - 179321,Express Non AC Seater 2+3,10:00,14:30,04h 30m,INR 229,42 Seats available,4.2
12,Jodhpur to Ajmer,RSRTC - 179320,Express Non AC Seater 2+3,10:15,14:40,04h 25m,INR 229,42 Seats available,4.2
13,Jodhpur to Ajmer,RSRTC - 164138,Express Non AC Seater 2+3,10:30,15:00,04h 30m,INR 229,42 Seats available,4.2
14,Jodhpur to Ajmer,RSRTC - 187787,Super Luxury Volvo AC Seater Pushback 2+2,11:00,15:00,04h 00m,INR 460,37 Seats available,4.7
15,Jodhpur to Ajmer,RSRTC - 182944,Express Non AC Seater 2+3,11:15,15:50,04h 35m,INR 229,42 Seats available,4.2
16,Jodhpur to Ajmer,RSRTC - 187798,Super Luxury Volvo AC Seater Pushback 2+2,11:55,15:50,03h 55m,INR 460,37 Seats available,4.5
17,Jodhpur to Ajmer,RSRTC - 156405,Express Non AC Seater 2+3,12:00,16:30,04h 30m,INR 229,42 Seats available,4.2
18,Jodhpur to Ajmer,RSRTC - 190537,Express Non AC Seater 2+3,12:30,17:05,04h 35m,INR 229,42 Seats available,4.2
19,Jodhpur to Ajmer,RSRTC - 157455,Super Luxury Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 460,37 Seats available,4.2
20,Jodhpur to Ajmer,RSRTC - 190571,Express Non AC Seater 2+3,13:25,18:00,04h 35m,INR 229,42 Seats available,4.2
21,Jodhpur to Ajmer,RSRTC - 188046,Express Non AC Seater 2+3,14:15,19:00,04h 45m,INR 229,42 Seats available,4.2
22,Jodhpur to Ajmer,RSRTC - 167049,Express Non AC Seater 2+3,14:30,19:15,04h 45m,INR 229,42 Seats available,4.2
23,Jodhpur to Ajmer,RSRTC - 146140,Super Luxury Volvo AC Seater Pushback 2+2,14:46,18:48,04h 02m,INR 460,37 Seats available,4.0
24,Jodhpur to Ajmer,RSRTC - 169078,NON AC Seater / Sleeper 2+1,15:00,19:30,04h 30m,INR 302,37 Seats available,4.5
